Anio,Mes,Embarcaciones monitoreadas en el Golfo de Mexico,Embarcaciones monitoreadas en el Pacifico Mexicano
2014,ENERO,935,1104
2014,FEBRERO,935,1102
2014,MARZO,935,1103
2014,ABRIL,935,1101
2014,MAYO,934,1104
2014,JUNIO,936,1104
2014,JULIO,942,1108
2014,AGOSTO,937,1109
2014,SEPTIEMBRE,937,1117
2014,OCTUBRE,909,1091
2014,NOVIEMBRE,910,1088
2014,DICIEMBRE,907,1085
2015,ENERO,898,1083
2015,FEBRERO,896,1088
2015,MARZO,896,1085
2015,ABRIL,892,1085
2015,MAYO,892,1084
2015,JUNIO,881,1085
2015,JULIO,892,1074
2015,AGOSTO,896,1078
2015,SEPTIEMBRE,897,1081
2015,OCTUBRE,903,1085
2015,NOVIEMBRE,901,1076
2015,DICIEMBRE,902,1079
2016,ENERO,898,1066
2016,FEBRERO,898,1064
2016,MARZO,902,1068
2016,ABRIL,901,1071
2016,MAYO,905,1073
2016,JUNIO,906,1074
2016,JULIO,908,1076
2016,AGOSTO,911,1078
2016,SEPTIEMBRE,914,1084
2016,OCTUBRE,915,1090
2016,NOVIEMBRE,917,1091
2016,DICIEMBRE,915,1094
2017,ENERO,915,1096
2017,FEBRERO,915,1094
2017,MARZO,914,1090
2017,ABRIL,914,1091
2017,MAYO,915,1092
2017,JUNIO,915,1093
2017,JULIO,915,1089
2017,AGOSTO,915,1087
2017,SEPTIEMBRE,920,1101
2017,OCTUBRE,921,1101
2017,NOVIEMBRE,924,1099
2017,DICIEMBRE,919,1098
2018,ENERO,919,1097
2018,FEBRERO,921,1095
2018,MARZO,921,1092
2018,ABRIL,925,1095
2018,MAYO,924,1092
2018,JUNIO,925,1090
2018,JULIO,926,1089
2018,AGOSTO,928,1089
2018,SEPTIEMBRE,933,1093
2018,OCTUBRE,934,1092
2018,NOVIEMBRE,934,1094
2018,DICIEMBRE,926,1096
